ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
2383135,HH684629,10/01/2015 12:47:08 PM,032XX W ROOSEVELT RD,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1134,011,24,29,06
2383437,HH693227,09/04/2015 09:30:00 PM,048XX W ARMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,TAVERN/LIQUOR STORE,false,true,2522,025,31,19,08B
2383482,HH692935,10/04/2015 10:09:09 PM,116XX S MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,0532,005,9,53,26
2383568,HH690681,10/03/2015 05:00:00 AM,017XX W TOUHY AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2423,024,49,1,05
2457967,HH706178,10/11/2015 12:28:49 AM,023XX E 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,0414,004,7,43,08B
2383599,HH692261,10/04/2015 10:00:00 AM,019XX W CULLOM AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1922,019,47,5,05
2458153,HH780784,11/13/2014 07:15:00 AM,042XX S PRAIRIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0214,002,3,38,07
2383787,HH690948,10/04/2015 06:05:50 AM,031XX W DOUGLAS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1022,010,24,29,14
2459070,HH787097,11/18/2015 11:30:00 AM,031XX W 38TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0913,009,12,58,07
2384629,HH686645,10/02/2015 09:10:00 AM,015XX E 71ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0324,003,5,43,08B
2384758,HH694553,10/05/2015 11:30:00 AM,027XX N GREENVIEW AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1931,019,32,7,05
2385045,HH695680,10/06/2015 04:00:00 AM,069XX W GEORGE ST,0810,THEFT,OVER $500,STREET,false,false,2511,025,36,18,06
2385262,HH694686,10/30/2013 06:14:41 PM,120XX S PERRY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0523,005,9,53,08A
